기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2016	서대문구	136,766.0	325,871.0	156,597.0	169,274.0	314,194.0	152,510.0	161,684.0	11,677.0	4,087.0	7,590.0	-	-	2.3	47,653.0
2016	마포구	169,432.0	390,887.0	186,668.0	204,219.0	379,892.0	182,162.0	197,730.0	10,995.0	4,506.0	6,489.0	-	-	2.2	48,303.0
2016	양천구	177,434.0	481,845.0	238,163.0	243,682.0	477,739.0	236,290.0	241,449.0	4,106.0	1,873.0	2,233.0	-	-	2.7	52,063.0
2016	강서구	245,045.0	602,104.0	293,734.0	308,370.0	595,485.0	290,478.0	305,007.0	6,619.0	3,256.0	3,363.0	-	-	2.4	71,062.0
2016	구로구	172,220.0	449,600.0	225,411.0	224,189.0	417,551.0	207,667.0	209,884.0	32,049.0	17,744.0	14,305.0	-	-	2.4	55,705.0
2016	금천구	104,483.0	254,654.0	130,429.0	124,225.0	235,386.0	119,885.0	115,501.0	19,268.0	10,544.0	8,724.0	-	-	2.3	32,279.0
2016	영등포구	165,729.0	406,779.0	204,712.0	202,067.0	370,613.0	185,200.0	185,413.0	36,166.0	19,512.0	16,654.0	-	-	2.2	51,844.0
2016	동작구	172,506.0	413,247.0	201,842.0	211,405.0	400,997.0	196,267.0	204,730.0	12,250.0	5,575.0	6,675.0	-	-	2.3	55,231.0
2016	관악구	251,955.0	525,607.0	265,034.0	260,573.0	506,851.0	256,143.0	250,708.0	18,756.0	8,891.0	9,865.0	-	-	2.0	66,952.0
2016	서초구	173,970.0	451,477.0	216,886.0	234,591.0	447,192.0	214,673.0	232,519.0	4,285.0	2,213.0	2,072.0	-	-	2.6	50,984.0
2016	강남구	234,080.0	572,140.0	274,217.0	297,923.0	567,115.0	271,604.0	295,511.0	5,025.0	2,613.0	2,412.0	-	-	2.4	61,931.0
2016	송파구	258,382.0	664,946.0	324,087.0	340,859.0	657,831.0	320,557.0	337,274.0	7,115.0	3,530.0	3,585.0	-	-	2.6	71,064.0
2016	강동구	177,460.0	448,471.0	223,081.0	225,390.0	444,168.0	221,118.0	223,050.0	4,303.0	1,963.0	2,340.0	-	-	2.5	53,195.0
